cross,fert,dir
AB,100,sperm
AB,100,sperm
AB,95.12195122,sperm
AC,68.18181818,sperm
AC,82.22222222,sperm
AC,64.51612903,sperm
AD,76.19047619,sperm
AD,90.14084507,sperm
AD,84.72222222,sperm
BA,81.03448276,ova
BA,87.5,ova
BA,68.85245902,ova
CA,85.71428571,ova
CA,84.90566038,ova
CA,90.90909091,ova
DA,96.49122807,ova
DA,95.45454545,ova
DA,74.46808511,ova
BA,81.03448276,sperm
BA,87.5,sperm
BA,68.85245902,sperm
BC,52.5,sperm
BC,72.22222222,sperm
BC,67.64705882,sperm
BD,40,sperm
BD,53.125,sperm
BD,58.06451613,sperm
AB,100,ova
AB,100,ova
AB,95.12195122,ova
CB,98.03921569,ova
CB,97.14285714,ova
CB,94.28571429,ova
DB,90.625,ova
DB,83.87096774,ova
DB,96.96969697,ova
CA,85.71428571,sperm
CA,84.90566038,sperm
CA,90.90909091,sperm
CB,98.03921569,sperm
CB,97.14285714,sperm
CB,94.28571429,sperm
CD,43.75,sperm
CD,36.92307692,sperm
CD,31.74603175,sperm
AC,68.18181818,ova
AC,82.22222222,ova
AC,64.51612903,ova
BC,52.5,ova
BC,72.22222222,ova
BC,67.64705882,ova
DC,64.70588235,ova
DC,78.37837838,ova
DC,53.125,ova
DA,96.49122807,sperm
DA,95.45454545,sperm
DA,74.46808511,sperm
DB,90.625,sperm
DB,83.87096774,sperm
DB,96.96969697,sperm
DC,64.70588235,sperm
DC,78.37837838,sperm
DC,53.125,sperm
AD,76.19047619,ova
AD,90.14084507,ova
AD,84.72222222,ova
BD,40,ova
BD,53.125,ova
BD,58.06451613,ova
CD,43.75,ova
CD,36.92307692,ova
CD,31.74603175,ova
