Night,Sperm ,Ova,Fert,Unfert,Total,Fert.rate,Cross
Night 1,B8,B8,2,65,67,2.985074627,self
Night 1,B8,B8,1,49,50,2,self
Night 1,B8,B8,2,63,65,3.076923077,self
Night 1,B8,U38,45,0,45,100,out
Night 1,B8,U38,38,0,38,100,out
Night 1,B8,U38,39,2,41,95.12195122,out
Night 1,B8,U50,15,7,22,68.18181818,out
Night 1,B8,U50,37,8,45,82.22222222,out
Night 1,B8,U50,20,11,31,64.51612903,out
Night 1,B8,U94,48,15,63,76.19047619,out
Night 1,B8,U94,64,7,71,90.14084507,out
Night 1,B8,U94,61,11,72,84.72222222,out
Night 1,U38,B8,47,11,58,81.03448276,out
Night 1,U38,B8,49,7,56,87.5,out
Night 1,U38,B8,42,19,61,68.85245902,out
Night 1,U38,U38,1,37,38,2.631578947,self
Night 1,U38,U38,2,35,37,5.405405405,self
Night 1,U38,U38,2,31,33,6.060606061,self
Night 1,U38,U50,21,19,40,52.5,out
Night 1,U38,U50,26,10,36,72.22222222,out
Night 1,U38,U50,23,11,34,67.64705882,out
Night 1,U38,U94,28,42,70,40,out
Night 1,U38,U94,34,30,64,53.125,out
Night 1,U38,U94,36,26,62,58.06451613,out
Night 1,U50,B8,48,8,56,85.71428571,out
Night 1,U50,B8,45,8,53,84.90566038,out
Night 1,U50,B8,50,5,55,90.90909091,out
Night 1,U50,U38,50,1,51,98.03921569,out
Night 1,U50,U38,34,1,35,97.14285714,out
Night 1,U50,U38,33,2,35,94.28571429,out
Night 1,U50,U50,2,52,54,3.703703704,self
Night 1,U50,U50,0,42,42,0,self
Night 1,U50,U50,1,35,36,2.777777778,self
Night 1,U50,U94,28,36,64,43.75,out
Night 1,U50,U94,24,41,65,36.92307692,out
Night 1,U50,U94,20,43,63,31.74603175,out
Night 1,U94,B8,55,2,57,96.49122807,out
Night 1,U94,B8,42,2,44,95.45454545,out
Night 1,U94,B8,35,12,47,74.46808511,out
Night 1,U94,U38,29,3,32,90.625,out
Night 1,U94,U38,26,5,31,83.87096774,out
Night 1,U94,U38,32,1,33,96.96969697,out
Night 1,U94,U50,22,12,34,64.70588235,out
Night 1,U94,U50,29,8,37,78.37837838,out
Night 1,U94,U50,17,15,32,53.125,out
Night 1,U94,U94,1,55,56,1.785714286,self
Night 1,U94,U94,1,52,53,1.886792453,self
Night 1,U94,U94,1,63,64,1.5625,self
Night 1,Batch,,46,14,60,76.66666667,batch
Night 1,Batch,,46,17,63,73.01587302,batch
Night 1,Batch,,46,13,59,77.96610169,batch
Night 2,U24,U24,1,36,37,2.702702703,self
Night 2,U24,U24,0,43,43,0,self
Night 2,U24,U24,0,51,51,0,self
Night 2,U24,U94,46,7,53,86.79245283,out
Night 2,U24,U94,20,4,24,83.33333333,out
Night 2,U24,U94,41,19,60,68.33333333,out
Night 2,U24,M13,39,17,56,69.64285714,out
Night 2,U24,M13,20,13,33,60.60606061,out
Night 2,U24,M13,29,3,32,90.625,out
Night 2,U24,U50,28,14,42,66.66666667,out
Night 2,U24,U50,44,12,56,78.57142857,out
Night 2,U24,U50,24,10,34,70.58823529,out
Night 2,U24,U32,34,27,61,55.73770492,out
Night 2,U24,U32,45,27,72,62.5,out
Night 2,U24,U32,39,16,55,70.90909091,out
Night 2,U24,U12,29,36,65,44.61538462,out
Night 2,U24,U12,26,45,71,36.61971831,out
Night 2,U24,U12,20,44,64,31.25,out
Night 2,U24,U16,39,22,61,63.93442623,out
Night 2,U24,U16,30,7,37,81.08108108,out
Night 2,U24,U16,33,4,37,89.18918919,out
Night 2,U24,U4,26,37,63,41.26984127,out
Night 2,U24,U4,46,19,65,70.76923077,out
Night 2,U24,U4,29,28,57,50.87719298,out
Night 2,U94,U24,18,29,47,38.29787234,out
Night 2,U94,U24,9,42,51,17.64705882,out
Night 2,U94,U24,9,50,59,15.25423729,out
Night 2,U94,U94,1,59,60,1.666666667,self
Night 2,U94,U94,0,54,54,0,self
Night 2,U94,U94,1,46,47,2.127659574,self
Night 2,U94,M13,24,14,38,63.15789474,out
Night 2,U94,M13,29,21,50,58,out
Night 2,U94,M13,17,22,39,43.58974359,out
Night 2,U94,U50,26,4,30,86.66666667,out
Night 2,U94,U50,47,12,59,79.66101695,out
Night 2,U94,U50,43,19,62,69.35483871,out
Night 2,U94,U32,6,73,79,7.594936709,out
Night 2,U94,U32,1,60,61,1.639344262,out
Night 2,U94,U32,3,61,64,4.6875,out
Night 2,U94,U12,7,48,55,12.72727273,out
Night 2,U94,U12,11,54,65,16.92307692,out
Night 2,U94,U12,17,43,60,28.33333333,out
Night 2,U94,U16,24,15,39,61.53846154,out
Night 2,U94,U16,30,14,44,68.18181818,out
Night 2,U94,U16,27,12,39,69.23076923,out
Night 2,U94,U4,44,12,56,78.57142857,out
Night 2,U94,U4,44,5,49,89.79591837,out
Night 2,U94,U4,51,9,60,85,out
Night 2,M13,U24,40,31,71,56.33802817,out
Night 2,M13,U24,44,22,66,66.66666667,out
Night 2,M13,U24,42,10,52,80.76923077,out
Night 2,M13,U94,64,6,70,91.42857143,out
Night 2,M13,U94,55,15,70,78.57142857,out
Night 2,M13,U94,42,18,60,70,out
Night 2,M13,M13,13,40,53,24.52830189,self
Night 2,M13,M13,7,24,31,22.58064516,self
Night 2,M13,M13,30,28,58,51.72413793,self
Night 2,M13,U50,55,11,66,83.33333333,out
Night 2,M13,U50,57,16,73,78.08219178,out
Night 2,M13,U50,44,7,51,86.2745098,out
Night 2,M13,U32,28,36,64,43.75,out
Night 2,M13,U32,60,17,77,77.92207792,out
Night 2,M13,U32,37,23,60,61.66666667,out
Night 2,M13,U12,30,32,62,48.38709677,out
Night 2,M13,U12,37,33,70,52.85714286,out
Night 2,M13,U12,32,42,74,43.24324324,out
Night 2,M13,U16,54,15,69,78.26086957,out
Night 2,M13,U16,83,19,102,81.37254902,out
Night 2,M13,U16,33,9,42,78.57142857,out
Night 2,M13,U4,34,12,46,73.91304348,out
Night 2,M13,U4,37,7,44,84.09090909,out
Night 2,M13,U4,30,15,45,66.66666667,out
Night 2,U50,U24,29,7,36,80.55555556,out
Night 2,U50,U24,20,27,47,42.55319149,out
Night 2,U50,U24,32,33,65,49.23076923,out
Night 2,U50,U94,16,46,62,25.80645161,out
Night 2,U50,U94,10,54,64,15.625,out
Night 2,U50,U94,24,43,67,35.82089552,out
Night 2,U50,M13,33,15,48,68.75,out
Night 2,U50,M13,36,21,57,63.15789474,out
Night 2,U50,M13,38,21,59,64.40677966,out
Night 2,U50,U50,0,53,53,0,self
Night 2,U50,U50,2,52,54,3.703703704,self
Night 2,U50,U50,1,63,64,1.5625,self
Night 2,U50,U32,26,47,73,35.61643836,out
Night 2,U50,U32,45,44,89,50.56179775,out
Night 2,U50,U32,18,43,61,29.50819672,out
Night 2,U50,U12,9,61,70,12.85714286,out
Night 2,U50,U12,19,59,78,24.35897436,out
Night 2,U50,U12,13,54,67,19.40298507,out
Night 2,U50,U16,10,25,35,28.57142857,out
Night 2,U50,U16,27,22,49,55.10204082,out
Night 2,U50,U16,18,29,47,38.29787234,out
Night 2,U50,U4,20,22,42,47.61904762,out
Night 2,U50,U4,18,29,47,38.29787234,out
Night 2,U50,U4,24,33,57,42.10526316,out
Night 2,U32,U24,54,8,62,87.09677419,out
Night 2,U32,U24,53,5,58,91.37931034,out
Night 2,U32,U24,40,6,46,86.95652174,out
Night 2,U32,U94,0,47,47,0,out
Night 2,U32,U94,5,74,79,6.329113924,out
Night 2,U32,U94,3,66,69,4.347826087,out
Night 2,U32,M13,32,0,32,100,out
Night 2,U32,M13,48,0,48,100,out
Night 2,U32,M13,38,1,39,97.43589744,out
Night 2,U32,U50,46,6,52,88.46153846,out
Night 2,U32,U50,38,11,49,77.55102041,out
Night 2,U32,U50,52,13,65,80,out
Night 2,U32,U32,0,78,78,0,self
Night 2,U32,U32,0,54,54,0,self
Night 2,U32,U32,0,47,47,0,self
Night 2,U32,U12,54,16,70,77.14285714,out
Night 2,U32,U12,47,19,66,71.21212121,out
Night 2,U32,U12,38,24,62,61.29032258,out
Night 2,U32,U16,37,5,42,88.0952381,out
Night 2,U32,U16,38,5,43,88.37209302,out
Night 2,U32,U16,31,3,34,91.17647059,out
Night 2,U32,U4,50,8,58,86.20689655,out
Night 2,U32,U4,49,16,65,75.38461538,out
Night 2,U32,U4,34,19,53,64.1509434,out
Night 2,U12,U24,48,4,52,92.30769231,out
Night 2,U12,U24,27,20,47,57.44680851,out
Night 2,U12,U24,41,5,46,89.13043478,out
Night 2,U12,U94,56,14,70,80,out
Night 2,U12,U94,57,3,60,95,out
Night 2,U12,U94,56,6,62,90.32258065,out
Night 2,U12,M13,47,1,48,97.91666667,out
Night 2,U12,M13,44,1,45,97.77777778,out
Night 2,U12,M13,38,1,39,97.43589744,out
Night 2,U12,U50,52,13,65,80,out
Night 2,U12,U50,34,10,44,77.27272727,out
Night 2,U12,U50,41,14,55,74.54545455,out
Night 2,U12,U32,25,16,41,60.97560976,out
Night 2,U12,U32,58,13,71,81.69014085,out
Night 2,U12,U32,47,25,72,65.27777778,out
Night 2,U12,U12,13,59,72,18.05555556,self
Night 2,U12,U12,8,56,64,12.5,self
Night 2,U12,U12,11,53,64,17.1875,self
Night 2,U12,U16,39,13,52,75,out
Night 2,U12,U16,31,4,35,88.57142857,out
Night 2,U12,U16,45,5,50,90,out
Night 2,U12,U4,2,59,61,3.278688525,out
Night 2,U12,U4,2,55,57,3.50877193,out
Night 2,U12,U4,6,45,51,11.76470588,out
Night 2,U16,U24,58,13,71,81.69014085,out
Night 2,U16,U24,50,9,59,84.74576271,out
Night 2,U16,U24,41,9,50,82,out
Night 2,U16,U94,31,13,44,70.45454545,out
Night 2,U16,U94,45,11,56,80.35714286,out
Night 2,U16,U94,44,11,55,80,out
Night 2,U16,M13,40,14,54,74.07407407,out
Night 2,U16,M13,39,6,45,86.66666667,out
Night 2,U16,M13,33,29,62,53.22580645,out
Night 2,U16,U50,50,15,65,76.92307692,out
Night 2,U16,U50,34,35,69,49.27536232,out
Night 2,U16,U50,41,10,51,80.39215686,out
Night 2,U16,U32,35,29,64,54.6875,out
Night 2,U16,U32,38,35,73,52.05479452,out
Night 2,U16,U32,47,38,85,55.29411765,out
Night 2,U16,U12,33,55,88,37.5,out
Night 2,U16,U12,25,49,74,33.78378378,out
Night 2,U16,U12,29,28,57,50.87719298,out
Night 2,U16,U16,1,32,33,3.03030303,self
Night 2,U16,U16,0,52,52,0,self
Night 2,U16,U16,0,40,40,0,self
Night 2,U16,U4,42,8,50,84,out
Night 2,U16,U4,34,10,44,77.27272727,out
Night 2,U16,U4,47,11,58,81.03448276,out
Night 2,U4,U24,12,28,40,30,out
Night 2,U4,U24,14,43,57,24.56140351,out
Night 2,U4,U24,25,25,50,50,out
Night 2,U4,U94,17,30,47,36.17021277,out
Night 2,U4,U94,43,10,53,81.13207547,out
Night 2,U4,U94,37,17,54,68.51851852,out
Night 2,U4,M13,43,7,50,86,out
Night 2,U4,M13,32,6,38,84.21052632,out
Night 2,U4,M13,52,8,60,86.66666667,out
Night 2,U4,U50,46,10,56,82.14285714,out
Night 2,U4,U50,30,19,49,61.2244898,out
Night 2,U4,U50,50,8,58,86.20689655,out
Night 2,U4,U32,31,54,85,36.47058824,out
Night 2,U4,U32,39,45,84,46.42857143,out
Night 2,U4,U32,35,28,63,55.55555556,out
Night 2,U4,U12,5,66,71,7.042253521,out
Night 2,U4,U12,5,64,69,7.246376812,out
Night 2,U4,U12,5,62,67,7.462686567,out
Night 2,U4,U16,23,32,55,41.81818182,out
Night 2,U4,U16,18,20,38,47.36842105,out
Night 2,U4,U16,25,20,45,55.55555556,out
Night 2,U4,U4,1,40,41,2.43902439,self
Night 2,U4,U4,1,52,53,1.886792453,self
Night 2,U4,U4,0,47,47,0,self
Night 2,Batch ,,66,36,102,64.70588235,batch
Night 2,Batch ,,62,27,89,69.66292135,batch
Night 2,Batch ,,59,52,111,53.15315315,batch
