cross,fert,dir,night
B8-U38,100,sperm,night 1
B8-U38,100,sperm,night 1
B8-U38,95.12195122,sperm,night 1
B8-U50,68.18181818,sperm,night 1
B8-U50,82.22222222,sperm,night 1
B8-U50,64.51612903,sperm,night 1
B8-U94,76.19047619,sperm,night 1
B8-U94,90.14084507,sperm,night 1
B8-U94,84.72222222,sperm,night 1
B8-U38,81.03448276,ova,night 1
B8-U38,87.5,ova,night 1
B8-U38,68.85245902,ova,night 1
B8-U50,85.71428571,ova,night 1
B8-U50,84.90566038,ova,night 1
B8-U50,90.90909091,ova,night 1
B8-U94,96.49122807,ova,night 1
B8-U94,95.45454545,ova,night 1
B8-U94,74.46808511,ova,night 1
U38-B8,81.03448276,sperm,night 1
U38-B8,87.5,sperm,night 1
U38-B8,68.85245902,sperm,night 1
U38-U50,52.5,sperm,night 1
U38-U50,72.22222222,sperm,night 1
U38-U50,67.64705882,sperm,night 1
U38-U94,40,sperm,night 1
U38-U94,53.125,sperm,night 1
U38-U94,58.06451613,sperm,night 1
U38-B8,100,ova,night 1
U38-B8,100,ova,night 1
U38-B8,95.12195122,ova,night 1
U38-U50,98.03921569,ova,night 1
U38-U50,97.14285714,ova,night 1
U38-U50,94.28571429,ova,night 1
U38-U94,90.625,ova,night 1
U38-U94,83.87096774,ova,night 1
U38-U94,96.96969697,ova,night 1
U50-B8,85.71428571,sperm,night 1
U50-B8,84.90566038,sperm,night 1
U50-B8,90.90909091,sperm,night 1
U50-U38,98.03921569,sperm,night 1
U50-U38,97.14285714,sperm,night 1
U50-U38,94.28571429,sperm,night 1
U50-U94,43.75,sperm,night 1
U50-U94,36.92307692,sperm,night 1
U50-U94,31.74603175,sperm,night 1
U50-B8,68.18181818,ova,night 1
U50-B8,82.22222222,ova,night 1
U50-B8,64.51612903,ova,night 1
U50-U38,52.5,ova,night 1
U50-U38,72.22222222,ova,night 1
U50-U38,67.64705882,ova,night 1
U50-U94,64.70588235,ova,night 1
U50-U94,78.37837838,ova,night 1
U50-U94,53.125,ova,night 1
U94-B8,96.49122807,sperm,night 1
U94-B8,95.45454545,sperm,night 1
U94-B8,74.46808511,sperm,night 1
U94-U38,90.625,sperm,night 1
U94-U38,83.87096774,sperm,night 1
U94-U38,96.96969697,sperm,night 1
U94-U50,64.70588235,sperm,night 1
U94-U50,78.37837838,sperm,night 1
U94-U50,53.125,sperm,night 1
U94-B8,76.19047619,ova,night 1
U94-B8,90.14084507,ova,night 1
U94-B8,84.72222222,ova,night 1
U94-U38,40,ova,night 1
U94-U38,53.125,ova,night 1
U94-U38,58.06451613,ova,night 1
U94-U50,43.75,ova,night 1
U94-U50,36.92307692,ova,night 1
U94-U50,31.74603175,ova,night 1
U24-U94,86.79245283,sperm,night 2
U24-U94,83.33333333,sperm,night 2
U24-U94,68.33333333,sperm,night 2
U24-M13,69.64285714,sperm,night 2
U24-M13,60.60606061,sperm,night 2
U24-M13,90.625,sperm,night 2
U24-U50,66.66666667,sperm,night 2
U24-U50,78.57142857,sperm,night 2
U24-U50,70.58823529,sperm,night 2
U24-U32,55.73770492,sperm,night 2
U24-U32,62.5,sperm,night 2
U24-U32,70.90909091,sperm,night 2
U24-U12,44.61538462,sperm,night 2
U24-U12,36.61971831,sperm,night 2
U24-U12,31.25,sperm,night 2
U24-U16,63.93442623,sperm,night 2
U24-U16,81.08108108,sperm,night 2
U24-U16,89.18918919,sperm,night 2
U24-U4,41.26984127,sperm,night 2
U24-U4,70.76923077,sperm,night 2
U24-U4,50.87719298,sperm,night 2
U24-U94,38.29787234,ova,night 2
U24-U94,17.64705882,ova,night 2
U24-U94,15.25423729,ova,night 2
U24-M13,56.33802817,ova,night 2
U24-M13,66.66666667,ova,night 2
U24-M13,80.76923077,ova,night 2
U24-U50,80.55555556,ova,night 2
U24-U50,42.55319149,ova,night 2
U24-U50,49.23076923,ova,night 2
U24-U32,87.09677419,ova,night 2
U24-U32,91.37931034,ova,night 2
U24-U32,86.95652174,ova,night 2
U24-U12,92.30769231,ova,night 2
U24-U12,57.44680851,ova,night 2
U24-U12,89.13043478,ova,night 2
U24-U16,81.69014085,ova,night 2
U24-U16,84.74576271,ova,night 2
U24-U16,82,ova,night 2
U24-U4,30,ova,night 2
U24-U4,24.56140351,ova,night 2
U24-U4,50,ova,night 2
U94-U24,38.29787234,sperm,night 2
U94-U24,17.64705882,sperm,night 2
U94-U24,15.25423729,sperm,night 2
U94-U94,1.666666667,sperm,night 2
U94-U94,0,sperm,night 2
U94-U94,2.127659574,sperm,night 2
U94-M13,63.15789474,sperm,night 2
U94-M13,58,sperm,night 2
U94-M13,43.58974359,sperm,night 2
U94-U50,86.66666667,sperm,night 2
U94-U50,79.66101695,sperm,night 2
U94-U50,69.35483871,sperm,night 2
U94-U32,7.594936709,sperm,night 2
U94-U32,1.639344262,sperm,night 2
U94-U32,4.6875,sperm,night 2
U94-U12,12.72727273,sperm,night 2
U94-U12,16.92307692,sperm,night 2
U94-U12,28.33333333,sperm,night 2
U94-U16,61.53846154,sperm,night 2
U94-U16,68.18181818,sperm,night 2
U94-U16,69.23076923,sperm,night 2
U94-U4,78.57142857,sperm,night 2
U94-U4,89.79591837,sperm,night 2
U94-U4,85,sperm,night 2
U94-U24,86.79245283,ova,night 2
U94-U24,83.33333333,ova,night 2
U94-U24,68.33333333,ova,night 2
U94-M13,91.42857143,ova,night 2
U94-M13,78.57142857,ova,night 2
U94-M13,70,ova,night 2
U94-U50,25.80645161,ova,night 2
U94-U50,15.625,ova,night 2
U94-U50,35.82089552,ova,night 2
U94-U32,0,ova,night 2
U94-U32,6.329113924,ova,night 2
U94-U32,4.347826087,ova,night 2
U94-U12,80,ova,night 2
U94-U12,95,ova,night 2
U94-U12,90.32258065,ova,night 2
U94-U16,70.45454545,ova,night 2
U94-U16,80.35714286,ova,night 2
U94-U16,80,ova,night 2
U94-U4,36.17021277,ova,night 2
U94-U4,81.13207547,ova,night 2
U94-U4,68.51851852,ova,night 2
M13-U24,56.33802817,sperm,night 2
M13-U24,66.66666667,sperm,night 2
M13-U24,80.76923077,sperm,night 2
M13-U94,91.42857143,sperm,night 2
M13-U94,78.57142857,sperm,night 2
M13-U94,70,sperm,night 2
M13-M13,24.52830189,sperm,night 2
M13-M13,22.58064516,sperm,night 2
M13-M13,51.72413793,sperm,night 2
M13-U50,83.33333333,sperm,night 2
M13-U50,78.08219178,sperm,night 2
M13-U50,86.2745098,sperm,night 2
M13-U32,43.75,sperm,night 2
M13-U32,77.92207792,sperm,night 2
M13-U32,61.66666667,sperm,night 2
M13-U12,48.38709677,sperm,night 2
M13-U12,52.85714286,sperm,night 2
M13-U12,43.24324324,sperm,night 2
M13-U16,78.26086957,sperm,night 2
M13-U16,81.37254902,sperm,night 2
M13-U16,78.57142857,sperm,night 2
M13-U4,73.91304348,sperm,night 2
M13-U4,84.09090909,sperm,night 2
M13-U4,66.66666667,sperm,night 2
M13-U24,69.64285714,ova,night 2
M13-U24,60.60606061,ova,night 2
M13-U24,90.625,ova,night 2
M13-U94,63.15789474,ova,night 2
M13-U94,58,ova,night 2
M13-U94,43.58974359,ova,night 2
M13-U50,68.75,ova,night 2
M13-U50,63.15789474,ova,night 2
M13-U50,64.40677966,ova,night 2
M13-U32,100,ova,night 2
M13-U32,100,ova,night 2
M13-U32,97.43589744,ova,night 2
M13-U12,97.91666667,ova,night 2
M13-U12,97.77777778,ova,night 2
M13-U12,97.43589744,ova,night 2
M13-U16,74.07407407,ova,night 2
M13-U16,86.66666667,ova,night 2
M13-U16,53.22580645,ova,night 2
M13-U4,86,ova,night 2
M13-U4,84.21052632,ova,night 2
M13-U4,86.66666667,ova,night 2
U50-U24,80.55555556,sperm,night 2
U50-U24,42.55319149,sperm,night 2
U50-U24,49.23076923,sperm,night 2
U50-U94,25.80645161,sperm,night 2
U50-U94,15.625,sperm,night 2
U50-U94,35.82089552,sperm,night 2
U50-M13,68.75,sperm,night 2
U50-M13,63.15789474,sperm,night 2
U50-M13,64.40677966,sperm,night 2
U50-U50,0,sperm,night 2
U50-U50,3.703703704,sperm,night 2
U50-U50,1.5625,sperm,night 2
U50-U32,35.61643836,sperm,night 2
U50-U32,50.56179775,sperm,night 2
U50-U32,29.50819672,sperm,night 2
U50-U12,12.85714286,sperm,night 2
U50-U12,24.35897436,sperm,night 2
U50-U12,19.40298507,sperm,night 2
U50-U16,28.57142857,sperm,night 2
U50-U16,55.10204082,sperm,night 2
U50-U16,38.29787234,sperm,night 2
U50-U4,47.61904762,sperm,night 2
U50-U4,38.29787234,sperm,night 2
U50-U4,42.10526316,sperm,night 2
U50-U24,66.66666667,ova,night 2
U50-U24,78.57142857,ova,night 2
U50-U24,70.58823529,ova,night 2
U50-U94,86.66666667,ova,night 2
U50-U94,79.66101695,ova,night 2
U50-U94,69.35483871,ova,night 2
U50-M13,83.33333333,ova,night 2
U50-M13,78.08219178,ova,night 2
U50-M13,86.2745098,ova,night 2
U50-U32,88.46153846,ova,night 2
U50-U32,77.55102041,ova,night 2
U50-U32,80,ova,night 2
U50-U12,80,ova,night 2
U50-U12,77.27272727,ova,night 2
U50-U12,74.54545455,ova,night 2
U50-U16,76.92307692,ova,night 2
U50-U16,49.27536232,ova,night 2
U50-U16,80.39215686,ova,night 2
U50-U4,82.14285714,ova,night 2
U50-U4,61.2244898,ova,night 2
U50-U4,86.20689655,ova,night 2
U32-U24,87.09677419,sperm,night 2
U32-U24,91.37931034,sperm,night 2
U32-U24,86.95652174,sperm,night 2
U32-U94,0,sperm,night 2
U32-U94,6.329113924,sperm,night 2
U32-U94,4.347826087,sperm,night 2
U32-M13,100,sperm,night 2
U32-M13,100,sperm,night 2
U32-M13,97.43589744,sperm,night 2
U32-U50,88.46153846,sperm,night 2
U32-U50,77.55102041,sperm,night 2
U32-U50,80,sperm,night 2
U32-U32,0,sperm,night 2
U32-U32,0,sperm,night 2
U32-U32,0,sperm,night 2
U32-U12,77.14285714,sperm,night 2
U32-U12,71.21212121,sperm,night 2
U32-U12,61.29032258,sperm,night 2
U32-U16,88.0952381,sperm,night 2
U32-U16,88.37209302,sperm,night 2
U32-U16,91.17647059,sperm,night 2
U32-U4,86.20689655,sperm,night 2
U32-U4,75.38461538,sperm,night 2
U32-U4,64.1509434,sperm,night 2
U32-U24,55.73770492,ova,night 2
U32-U24,62.5,ova,night 2
U32-U24,70.90909091,ova,night 2
U32-U94,7.594936709,ova,night 2
U32-U94,1.639344262,ova,night 2
U32-U94,4.6875,ova,night 2
U32-M13,43.75,ova,night 2
U32-M13,77.92207792,ova,night 2
U32-M13,61.66666667,ova,night 2
U32-U50,35.61643836,ova,night 2
U32-U50,50.56179775,ova,night 2
U32-U50,29.50819672,ova,night 2
U32-U12,60.97560976,ova,night 2
U32-U12,81.69014085,ova,night 2
U32-U12,65.27777778,ova,night 2
