Night,Sperm ,Ova,Fert,Unfert,Total,Fert.rate,Cross
Night 1,B8,B8,2,65,67,2.985074627,self
Night 1,B8,B8,1,49,50,2,self
Night 1,B8,B8,2,63,65,3.076923077,self
Night 1,B8,U38,45,0,45,100,out
Night 1,B8,U38,38,0,38,100,out
Night 1,B8,U38,39,2,41,95.12195122,out
Night 1,B8,U50,15,7,22,68.18181818,out
Night 1,B8,U50,37,8,45,82.22222222,out
Night 1,B8,U50,20,11,31,64.51612903,out
Night 1,B8,U94,48,15,63,76.19047619,out
Night 1,B8,U94,64,7,71,90.14084507,out
Night 1,B8,U94,61,11,72,84.72222222,out
Night 1,U38,B8,47,11,58,81.03448276,out
Night 1,U38,B8,49,7,56,87.5,out
Night 1,U38,B8,42,19,61,68.85245902,out
Night 1,U38,U38,1,37,38,2.631578947,self
Night 1,U38,U38,2,35,37,5.405405405,self
Night 1,U38,U38,2,31,33,6.060606061,self
Night 1,U38,U50,21,19,40,52.5,out
Night 1,U38,U50,26,10,36,72.22222222,out
Night 1,U38,U50,23,11,34,67.64705882,out
Night 1,U38,U94,28,42,70,40,out
Night 1,U38,U94,34,30,64,53.125,out
Night 1,U38,U94,36,26,62,58.06451613,out
Night 1,U50,B8,48,8,56,85.71428571,out
Night 1,U50,B8,45,8,53,84.90566038,out
Night 1,U50,B8,50,5,55,90.90909091,out
Night 1,U50,U38,50,1,51,98.03921569,out
Night 1,U50,U38,34,1,35,97.14285714,out
Night 1,U50,U38,33,2,35,94.28571429,out
Night 1,U50,U50,2,52,54,3.703703704,self
Night 1,U50,U50,0,42,42,0,self
Night 1,U50,U50,1,35,36,2.777777778,self
Night 1,U50,U94,28,36,64,43.75,out
Night 1,U50,U94,24,41,65,36.92307692,out
Night 1,U50,U94,20,43,63,31.74603175,out
Night 1,U94,B8,55,2,57,96.49122807,out
Night 1,U94,B8,42,2,44,95.45454545,out
Night 1,U94,B8,35,12,47,74.46808511,out
Night 1,U94,U38,29,3,32,90.625,out
Night 1,U94,U38,26,5,31,83.87096774,out
Night 1,U94,U38,32,1,33,96.96969697,out
Night 1,U94,U50,22,12,34,64.70588235,out
Night 1,U94,U50,29,8,37,78.37837838,out
Night 1,U94,U50,17,15,32,53.125,out
Night 1,U94,U94,1,55,56,1.785714286,self
Night 1,U94,U94,1,52,53,1.886792453,self
Night 1,U94,U94,1,63,64,1.5625,self
