cross,fert,dir,genet,night,,U94 - Sperm to Ova Averages Night 1 vs. Night 2,,,,U50 - Sperm to Ova Avg Night 1 v Night 2,,
U94-B8,96.49122807,sperm,Night 1 - U94,Night 1,,t-Test: Two-Sample Assuming Unequal Variances,,,,t-Test: Two-Sample Assuming Unequal Variances,,
U94-B8,95.45454545,sperm,Night 1 - U94,Night 1,,,,,,,,
U94-B8,74.46808511,sperm,Night 1 - U94,Night 1,,,Variable 1,Variable 2,,,Variable 1,Variable 2
U94-U38,90.625,sperm,Night 1 - U94,Night 1,,Mean,81.56542045,47.42158043,,Mean,73.71288142,59.44492773
U94-U38,83.87096774,sperm,Night 1 - U94,Night 1,,Variance,236.7502172,936.4943227,,Variance,767.6847287,1030.688121
U94-U38,96.96969697,sperm,Night 1 - U94,Night 1,,Observations,9,21,,Observations,9,21
U94-U50,64.70588235,sperm,Night 1 - U94,Night 1,,Hypothesized Mean Difference,0,,,Hypothesized Mean Difference,0,
U94-U50,78.37837838,sperm,Night 1 - U94,Night 1,,df,27,,,df,18,
U94-U50,53.125,sperm,Night 1 - U94,Night 1,,t Stat,4.054969283,,,t Stat,1.230825512,
B8-U94,76.19047619,ova,Night 1 - U94,Night 1,,P(T<=t) one-tail,0.000191307,,,P(T<=t) one-tail,0.117114892,
B8-U94,90.14084507,ova,Night 1 - U94,Night 1,,t Critical one-tail,1.703288446,,,t Critical one-tail,1.734063607,
B8-U94,84.72222222,ova,Night 1 - U94,Night 1,,P(T<=t) two-tail,0.000382615,,,P(T<=t) two-tail,0.234229784,
U38-U94,40,ova,Night 1 - U94,Night 1,,t Critical two-tail,2.051830516,,,t Critical two-tail,2.10092204,
U38-U94,53.125,ova,Night 1 - U94,Night 1,,,,,,,,
U38-U94,58.06451613,ova,Night 1 - U94,Night 1,,,,,,,,
U50-U94,43.75,ova,Night 1 - U94,Night 1,,U94 - Ova to Sperm Averages Night 1 vs. Night 2,,,,U50 - Ova to Sperm Avg Night 1 vs Night 2,,
U50-U94,36.92307692,ova,Night 1 - U94,Night 1,,t-Test: Two-Sample Assuming Unequal Variances,,,,t-Test: Two-Sample Assuming Unequal Variances,,
U50-U94,31.74603175,ova,Night 1 - U94,Night 1,,,,,,,,
U94-U24,38.29787234,sperm,Night 2 - U94,Night 2,,,Variable 1,Variable 2,,,Variable 1,Variable 2
U94-U24,17.64705882,sperm,Night 2 - U94,Night 2,,Mean,57.18468536,59.44492773,,Mean,67.05541236,76.81878419
U94-U24,15.25423729,sperm,Night 2 - U94,Night 2,,Variance,469.5452109,1030.688121,,Variance,100.5551386,86.59807425
U94-M13,63.15789474,sperm,Night 2 - U94,Night 2,,Observations,9,21,,Observations,9,21
U94-M13,58,sperm,Night 2 - U94,Night 2,,Hypothesized Mean Difference,0,,,Hypothesized Mean Difference,0,
U94-M13,43.58974359,sperm,Night 2 - U94,Night 2,,df,22,,,df,14,
U94-U50,86.66666667,sperm,Night 2 - U94,Night 2,,t Stat,-0.224622389,,,t Stat,-2.496339438,
U94-U50,79.66101695,sperm,Night 2 - U94,Night 2,,P(T<=t) one-tail,0.412173098,,,P(T<=t) one-tail,0.012823688,
U94-U50,69.35483871,sperm,Night 2 - U94,Night 2,,t Critical one-tail,1.717144374,,,t Critical one-tail,1.761310136,
U94-U32,7.594936709,sperm,Night 2 - U94,Night 2,,P(T<=t) two-tail,0.824346195,,,P(T<=t) two-tail,0.025647375,
U94-U32,1.639344262,sperm,Night 2 - U94,Night 2,,t Critical two-tail,2.073873068,,,t Critical two-tail,2.144786688,
U94-U32,4.6875,sperm,Night 2 - U94,Night 2,,,,,,,,
