Sample ID,Fert,Unfert,Total,% Fert,Night
AA,9,233,242,3.719008264,Night 1
AA,11,260,271,4.05904059,Night 1
AA,10,300,310,3.225806452,Night 1
AB,247,9,256,96.484375,Night 1
AB,232,15,247,93.92712551,Night 1
AB,230,15,245,93.87755102,Night 1
AC,330,7,337,97.92284866,Night 1
AC,143,5,148,96.62162162,Night 1
AC,255,15,270,94.44444444,Night 1
AD,276,26,302,91.39072848,Night 1
AD,281,10,291,96.56357388,Night 1
AD,131,20,151,86.75496689,Night 1
AE,17,170,187,9.090909091,Night 1
AE,7,125,132,5.303030303,Night 1
AE,11,141,152,7.236842105,Night 1
AF,70,13,83,84.3373494,Night 1
AF,98,20,118,83.05084746,Night 1
AF,136,22,158,86.07594937,Night 1
AG,125,3,128,97.65625,Night 1
AG,123,6,129,95.34883721,Night 1
AG,138,11,149,92.61744966,Night 1
AH,112,9,121,92.56198347,Night 1
AH,180,16,196,91.83673469,Night 1
AH,140,4,144,97.22222222,Night 1
AI,111,19,130,85.38461538,Night 1
AI,83,19,102,81.37254902,Night 1
AI,68,15,83,81.92771084,Night 1
AJ,119,17,136,87.5,Night 1
AJ,137,9,146,93.83561644,Night 1
AJ,66,6,72,91.66666667,Night 1
BA,243,11,254,95.66929134,Night 1
BA,259,16,275,94.18181818,Night 1
BA,253,7,260,97.30769231,Night 1
BB,1,210,211,0.473933649,Night 1
BB,6,240,246,2.43902439,Night 1
BB,5,275,280,1.785714286,Night 1
BC,274,17,291,94.1580756,Night 1
BC,216,10,226,95.57522124,Night 1
BC,271,7,278,97.48201439,Night 1
BD,175,10,185,94.59459459,Night 1
BD,217,12,229,94.75982533,Night 1
BD,86,10,96,89.58333333,Night 1
BE,14,141,155,9.032258065,Night 1
BE,10,148,158,6.329113924,Night 1
BE,11,152,163,6.748466258,Night 1
BF,138,28,166,83.13253012,Night 1
BF,124,25,149,83.22147651,Night 1
BF,123,16,139,88.48920863,Night 1
BG,124,10,134,92.53731343,Night 1
BG,156,6,162,96.2962963,Night 1
BG,138,7,145,95.17241379,Night 1
BH,160,17,177,90.39548023,Night 1
BH,161,9,170,94.70588235,Night 1
BH,118,4,122,96.72131148,Night 1
BI,100,19,119,84.03361345,Night 1
BI,44,10,54,81.48148148,Night 1
BI,89,23,112,79.46428571,Night 1
BJ,134,17,151,88.74172185,Night 1
BJ,181,27,208,87.01923077,Night 1
BJ,136,19,155,87.74193548,Night 1
