cross,fert,dir
U24-U94,86.79245283,sperm
U24-U94,83.33333333,sperm
U24-U94,68.33333333,sperm
U24-M13,69.64285714,sperm
U24-M13,60.60606061,sperm
U24-M13,90.625,sperm
U24-U50,66.66666667,sperm
U24-U50,78.57142857,sperm
U24-U50,70.58823529,sperm
U24-U32,55.73770492,sperm
U24-U32,62.5,sperm
U24-U32,70.90909091,sperm
U24-U12,44.61538462,sperm
U24-U12,36.61971831,sperm
U24-U12,31.25,sperm
U24-U16,63.93442623,sperm
U24-U16,81.08108108,sperm
U24-U16,89.18918919,sperm
U24-U4,41.26984127,sperm
U24-U4,70.76923077,sperm
U24-U4,50.87719298,sperm
U94-U24,38.29787234,ova
U94-U24,17.64705882,ova
U94-U24,15.25423729,ova
M13-U24,56.33802817,ova
M13-U24,66.66666667,ova
M13-U24,80.76923077,ova
U50-U24,80.55555556,ova
U50-U24,42.55319149,ova
U50-U24,49.23076923,ova
U32-U24,87.09677419,ova
U32-U24,91.37931034,ova
U32-U24,86.95652174,ova
U12-U24,92.30769231,ova
U12-U24,57.44680851,ova
U12-U24,89.13043478,ova
U16-U24,81.69014085,ova
U16-U24,84.74576271,ova
U16-U24,82,ova
U4-U24,30,ova
U4-U24,24.56140351,ova
U4-U24,50,ova
