cross,fert,dir,genet
U24-U94,86.79245283,sperm,U24
U24-U94,83.33333333,sperm,U24
U24-U94,68.33333333,sperm,U24
U24-M13,69.64285714,sperm,U24
U24-M13,60.60606061,sperm,U24
U24-M13,90.625,sperm,U24
U24-U50,66.66666667,sperm,U24
U24-U50,78.57142857,sperm,U24
U24-U50,70.58823529,sperm,U24
U24-U32,55.73770492,sperm,U24
U24-U32,62.5,sperm,U24
U24-U32,70.90909091,sperm,U24
U24-U12,44.61538462,sperm,U24
U24-U12,36.61971831,sperm,U24
U24-U12,31.25,sperm,U24
U24-U16,63.93442623,sperm,U24
U24-U16,81.08108108,sperm,U24
U24-U16,89.18918919,sperm,U24
U24-U4,41.26984127,sperm,U24
U24-U4,70.76923077,sperm,U24
U24-U4,50.87719298,sperm,U24
U24-U94,38.29787234,ova,U24
U24-U94,17.64705882,ova,U24
U24-U94,15.25423729,ova,U24
U24-M13,56.33802817,ova,U24
U24-M13,66.66666667,ova,U24
U24-M13,80.76923077,ova,U24
U24-U50,80.55555556,ova,U24
U24-U50,42.55319149,ova,U24
U24-U50,49.23076923,ova,U24
U24-U32,87.09677419,ova,U24
U24-U32,91.37931034,ova,U24
U24-U32,86.95652174,ova,U24
U24-U12,92.30769231,ova,U24
U24-U12,57.44680851,ova,U24
U24-U12,89.13043478,ova,U24
U24-U16,81.69014085,ova,U24
U24-U16,84.74576271,ova,U24
U24-U16,82,ova,U24
U24-U4,30,ova,U24
U24-U4,24.56140351,ova,U24
U24-U4,50,ova,U24
U94-U24,38.29787234,sperm,U94
U94-U24,17.64705882,sperm,U94
U94-U24,15.25423729,sperm,U94
U94-U94,1.666666667,sperm,U94
U94-U94,0,sperm,U94
U94-U94,2.127659574,sperm,U94
U94-M13,63.15789474,sperm,U94
U94-M13,58,sperm,U94
U94-M13,43.58974359,sperm,U94
U94-U50,86.66666667,sperm,U94
U94-U50,79.66101695,sperm,U94
U94-U50,69.35483871,sperm,U94
U94-U32,7.594936709,sperm,U94
U94-U32,1.639344262,sperm,U94
U94-U32,4.6875,sperm,U94
U94-U12,12.72727273,sperm,U94
U94-U12,16.92307692,sperm,U94
U94-U12,28.33333333,sperm,U94
U94-U16,61.53846154,sperm,U94
U94-U16,68.18181818,sperm,U94
U94-U16,69.23076923,sperm,U94
U94-U4,78.57142857,sperm,U94
U94-U4,89.79591837,sperm,U94
U94-U4,85,sperm,U94
U94-U24,86.79245283,ova,U94
U94-U24,83.33333333,ova,U94
U94-U24,68.33333333,ova,U94
U94-M13,91.42857143,ova,U94
U94-M13,78.57142857,ova,U94
U94-M13,70,ova,U94
U94-U50,25.80645161,ova,U94
U94-U50,15.625,ova,U94
U94-U50,35.82089552,ova,U94
U94-U32,0,ova,U94
U94-U32,6.329113924,ova,U94
U94-U32,4.347826087,ova,U94
U94-U12,80,ova,U94
U94-U12,95,ova,U94
U94-U12,90.32258065,ova,U94
U94-U16,70.45454545,ova,U94
U94-U16,80.35714286,ova,U94
U94-U16,80,ova,U94
U94-U4,36.17021277,ova,U94
U94-U4,81.13207547,ova,U94
U94-U4,68.51851852,ova,U94
M13-U24,56.33802817,sperm,M13
M13-U24,66.66666667,sperm,M13
M13-U24,80.76923077,sperm,M13
M13-U94,91.42857143,sperm,M13
M13-U94,78.57142857,sperm,M13
M13-U94,70,sperm,M13
M13-M13,24.52830189,sperm,M13
M13-M13,22.58064516,sperm,M13
M13-M13,51.72413793,sperm,M13
M13-U50,83.33333333,sperm,M13
M13-U50,78.08219178,sperm,M13
M13-U50,86.2745098,sperm,M13
M13-U32,43.75,sperm,M13
M13-U32,77.92207792,sperm,M13
M13-U32,61.66666667,sperm,M13
M13-U12,48.38709677,sperm,M13
M13-U12,52.85714286,sperm,M13
M13-U12,43.24324324,sperm,M13
M13-U16,78.26086957,sperm,M13
M13-U16,81.37254902,sperm,M13
M13-U16,78.57142857,sperm,M13
M13-U4,73.91304348,sperm,M13
M13-U4,84.09090909,sperm,M13
M13-U4,66.66666667,sperm,M13
M13-U24,69.64285714,ova,M13
M13-U24,60.60606061,ova,M13
M13-U24,90.625,ova,M13
M13-U94,63.15789474,ova,M13
M13-U94,58,ova,M13
M13-U94,43.58974359,ova,M13
M13-U50,68.75,ova,M13
M13-U50,63.15789474,ova,M13
M13-U50,64.40677966,ova,M13
M13-U32,100,ova,M13
M13-U32,100,ova,M13
M13-U32,97.43589744,ova,M13
M13-U12,97.91666667,ova,M13
M13-U12,97.77777778,ova,M13
M13-U12,97.43589744,ova,M13
M13-U16,74.07407407,ova,M13
M13-U16,86.66666667,ova,M13
M13-U16,53.22580645,ova,M13
M13-U4,86,ova,M13
M13-U4,84.21052632,ova,M13
M13-U4,86.66666667,ova,M13
U50-U24,80.55555556,sperm,U50
U50-U24,42.55319149,sperm,U50
U50-U24,49.23076923,sperm,U50
U50-U94,25.80645161,sperm,U50
U50-U94,15.625,sperm,U50
U50-U94,35.82089552,sperm,U50
U50-M13,68.75,sperm,U50
U50-M13,63.15789474,sperm,U50
U50-M13,64.40677966,sperm,U50
U50-U50,0,sperm,U50
